trail,SW,moh,slip,oos_med,oos_min,oos_max,oos_std,full_med,sw_med,dd_med
0.02,26,5,0.001,24.606,14.371,32.029,5.32,13.84,315.5,-23.93
0.02,26,5,0.0005,33.491,19.828,44.367,7.529,18.851,315.5,-23.287
0.02,26,3,0.002,10.66,7.121,14.176,2.139,6.321,335.5,-40.685
0.02,28,5,0.0005,37.067,21.365,49.257,8.731,20.888,318.5,-23.287
0.02,28,5,0.001,27.894,15.646,36.727,6.482,15.832,318.5,-23.364
0.02,28,3,0.002,10.374,6.695,14.382,2.288,6.188,342.5,-44.999
0.02,26,5,0.002,7.92,4.185,10.409,2.121,4.501,315.5,-41.953
0.02,28,3,0.0005,37.639,24.698,51.309,8.264,21.609,342.5,-26.008
0.02,28,3,0.001,27.814,18.385,37.842,5.897,16.148,342.5,-27.329
0.02,28,5,0.002,10.527,4.997,14.718,2.935,6.392,318.5,-42.458
0.02,30,3,0.0005,35.55,24.892,49.538,7.656,21.137,328.5,-23.287
0.02,26,3,0.0005,37.506,24.369,51.455,8.373,21.627,335.5,-24.532
0.02,26,3,0.001,27.855,18.334,37.848,5.888,16.145,335.5,-25.879
0.025,26,5,0.001,23.317,13.355,30.181,5.098,13.085,311.0,-23.93
0.02,30,5,0.001,25.602,17.17,35.505,5.599,15.317,309.5,-23.364
0.02,30,3,0.002,10.349,7.572,14.681,2.252,6.49,328.5,-38.453
0.02,30,5,0.002,10.691,6.538,14.493,2.401,6.162,309.5,-39.657
0.02,30,3,0.001,26.199,18.833,36.883,5.507,16.095,328.5,-24.005
0.025,26,3,0.0005,35.72,23.082,48.841,7.987,20.671,331.0,-24.791
0.02,30,5,0.0005,34.337,22.873,47.406,7.634,20.182,309.5,-23.287
0.025,26,5,0.002,7.217,3.564,9.589,2.09,4.142,311.0,-43.025
0.025,26,5,0.0005,31.758,18.588,41.876,7.175,17.917,311.0,-23.287
0.025,26,3,0.002,9.94,6.483,13.328,2.079,5.861,331.0,-41.779
0.025,26,3,0.001,26.533,17.282,35.919,5.641,15.409,331.0,-26.06
0.025,28,3,0.0005,33.862,22.146,46.34,7.512,19.72,339.0,-26.262
0.025,28,5,0.001,24.695,13.467,32.652,5.894,14.149,315.0,-23.494
0.025,28,5,0.0005,33.306,18.881,44.356,7.976,19.01,315.0,-23.287
0.025,28,3,0.001,24.616,16.155,33.734,5.319,14.508,339.0,-27.506
0.03,26,3,0.001,20.84,15.255,29.395,4.331,13.048,325.5,-26.06
0.025,28,5,0.002,8.345,3.362,11.999,2.631,5.133,315.0,-43.52
0.025,28,3,0.002,8.294,5.032,11.671,2.019,4.872,339.0,-46.014
0.025,30,3,0.001,25.249,18.684,34.722,4.904,15.587,325.0,-24.19
0.025,30,3,0.0005,34.244,24.576,46.743,6.908,20.455,325.0,-23.287
0.025,30,3,0.002,9.983,7.716,13.537,1.938,6.364,325.0,-39.589
0.025,30,5,0.002,10.868,6.905,13.93,2.15,6.174,305.0,-40.09
0.025,30,5,0.001,25.293,17.227,34.046,5.17,14.917,305.0,-23.364
0.03,26,3,0.0005,29.22,20.754,41.228,6.411,17.775,325.5,-24.791
0.025,30,5,0.0005,33.723,22.752,45.391,7.097,19.611,305.0,-23.287
0.03,26,5,0.001,18.327,11.65,24.517,3.891,10.554,305.5,-25.749
0.03,26,3,0.002,5.841,4.499,8.607,1.439,4.149,325.5,-45.145
0.03,26,5,0.002,3.66,2.307,5.958,1.533,2.295,305.5,-44.927
0.03,26,5,0.0005,26.041,16.632,35.254,5.729,15.127,305.5,-24.498
0.03,28,3,0.002,4.522,3.019,7.374,1.451,3.309,334.5,-48.741
0.03,30,5,0.0005,26.338,19.613,36.711,5.429,16.382,300.5,-23.287
0.03,28,5,0.0005,27.765,17.217,37.882,6.493,16.173,308.5,-23.287
0.03,28,3,0.0005,28.086,20.238,39.547,6.074,17.221,334.5,-26.262
0.03,28,3,0.001,19.537,14.509,27.879,4.115,12.408,334.5,-27.506
0.03,28,5,0.001,19.833,12.065,27.077,4.615,11.624,308.5,-24.923
0.03,30,3,0.0005,26.555,20.82,37.684,5.376,16.724,320.5,-23.287
0.03,28,5,0.002,4.806,2.423,7.927,1.766,3.067,308.5,-45.727
0.03,30,3,0.001,18.59,15.275,26.778,3.665,12.063,320.5,-24.19
0.03,30,3,0.002,4.8,2.426,7.475,1.545,3.285,320.5,-42.134
0.03,30,5,0.002,5.577,3.395,8.021,1.43,3.799,300.5,-41.127
0.03,30,5,0.001,18.647,14.397,26.393,3.763,12.052,300.5,-23.364
