SW,trail,moh,oos_med,oos_min,oos_max,oos_std,full_med,sw_med,dd_med
20,0.03,3,16.769,12.108,22.234,3.173,10.198,385.5,-27.172
20,0.02,1,18.469,11.711,23.899,3.632,10.394,439.5,-27.512
20,0.03,5,13.455,7.328,18.706,3.407,8.006,364.5,-29.894
20,0.04,5,8.525,6.027,11.008,1.959,5.144,361.5,-31.731
20,0.06,3,6.685,4.149,9.209,1.771,4.461,383.5,-35.133
20,0.02,5,18.466,9.164,24.401,4.494,10.516,373.5,-28.899
20,0.02,3,21.875,14.099,28.089,4.116,12.29,394.5,-26.138
20,0.06,5,3.546,1.406,5.798,1.601,2.203,363.5,-35.232
20,0.04,1,8.112,5.182,11.137,2.04,5.243,427.5,-34.883
20,0.04,3,10.966,8.453,14.123,2.098,7.03,382.5,-32.623
20,0.03,1,13.505,9.762,18.641,2.916,8.213,430.5,-28.527
20,0.06,1,4.018,1.008,6.0,1.758,2.718,428.5,-37.324
24,0.03,5,14.302,6.441,18.753,3.8,8.245,317.5,-23.364
24,0.02,1,20.207,13.371,26.927,4.036,11.745,390.5,-23.364
24,0.02,3,22.638,14.745,29.697,4.488,12.914,353.5,-26.424
26,0.02,1,26.108,17.099,35.725,5.572,15.357,367.0,-23.93
24,0.02,5,22.801,10.328,28.154,5.548,12.619,326.5,-23.7
24,0.04,3,9.929,8.594,12.811,1.497,6.653,343.0,-30.433
24,0.03,3,14.098,10.451,19.619,2.789,8.932,344.5,-26.603
24,0.03,1,12.86,9.507,17.47,2.442,8.06,381.5,-23.785
24,0.04,5,10.209,6.636,13.527,2.254,6.027,316.0,-23.424
24,0.06,5,6.736,4.567,9.484,1.755,4.174,314.0,-27.063
24,0.04,1,9.08,6.701,10.785,1.445,5.649,380.0,-29.877
24,0.06,3,5.698,3.502,7.304,1.375,3.779,342.0,-35.055
24,0.06,1,4.807,1.851,5.378,1.445,2.805,380.0,-34.442
26,0.03,1,20.584,14.945,28.4,4.086,12.708,360.0,-26.185
26,0.02,3,27.855,18.334,37.848,5.888,16.145,335.5,-25.879
26,0.03,5,18.327,11.65,24.517,3.891,10.554,305.5,-25.749
26,0.02,5,24.606,14.371,32.029,5.32,13.84,315.5,-23.93
26,0.03,3,20.84,15.255,29.395,4.331,13.048,325.5,-26.06
28,0.02,3,27.814,18.385,37.842,5.897,16.148,342.5,-27.329
26,0.04,5,14.169,10.895,19.014,2.495,8.984,305.5,-25.436
26,0.04,3,16.697,13.852,22.78,2.76,10.701,325.5,-26.76
26,0.04,1,16.959,13.546,22.007,2.63,10.431,359.5,-25.606
26,0.06,1,11.364,9.55,15.645,2.022,7.326,359.5,-28.176
26,0.06,5,8.669,7.079,12.982,1.942,6.033,305.5,-26.733
26,0.06,3,11.14,9.935,16.377,2.141,7.588,325.5,-31.045
28,0.02,1,26.969,18.19,37.068,5.687,15.883,370.5,-24.929
28,0.02,5,27.894,15.646,36.727,6.482,15.832,318.5,-23.364
28,0.04,5,13.874,9.299,19.343,3.036,8.365,307.0,-24.521
28,0.03,5,19.833,12.065,27.077,4.615,11.624,308.5,-24.923
30,0.02,3,26.199,18.833,36.883,5.507,16.095,328.5,-24.005
28,0.03,3,19.537,14.509,27.879,4.115,12.408,334.5,-27.506
28,0.04,3,13.776,11.388,19.562,2.525,9.049,333.0,-28.192
