pool,SW,MW,trail,hold,t1,ann,maxdd,calmar,sharpe,switches,stop_exits,tim,oos_ann
BASE7,20,20,0.03,5,full_t0,53.99790475155246,-17.55488125500537,3.0759481632014003,0.7482046076111114,496,54,68.04830287206266,162.9175050457895
BASE7,20,10,0.03,5,full_t0,53.99790475155246,-17.55488125500537,3.0759481632014003,0.7482046076111114,496,54,68.04830287206266,162.9175050457895
BASE7,20,30,0.03,5,full_t0,53.99790475155246,-17.55488125500537,3.0759481632014003,0.7482046076111114,496,54,68.04830287206266,162.9175050457895
BASE7,20,30,0.03,1,full_t0,53.53408046366101,-19.130876047508018,2.798307841769449,0.7441102630963247,588,51,64.588772845953,161.14790792740075
BASE7,20,10,0.03,1,full_t0,53.53408046366101,-19.130876047508018,2.798307841769449,0.7441102630963247,588,51,64.588772845953,161.14790792740075
BASE7,20,20,0.03,1,full_t0,53.53408046366101,-19.130876047508018,2.798307841769449,0.7441102630963247,588,51,64.588772845953,161.14790792740075
BASE7,20,30,0.06,1,full_t0,43.236397249419326,-20.97059820654874,2.06176270336043,0.6494473204945793,581,22,65.0130548302872,123.55365022058771
BASE7,20,10,0.06,1,full_t0,43.236397249419326,-20.97059820654874,2.06176270336043,0.6494473204945793,581,22,65.0130548302872,123.55365022058771
BASE7,20,20,0.06,1,full_t0,43.236397249419326,-20.97059820654874,2.06176270336043,0.6494473204945793,581,22,65.0130548302872,123.55365022058771
BASE7,20,20,0.06,5,full_t0,42.23100428386961,-20.50980113868046,2.0590645417923654,0.639977743382932,491,22,68.43994778067885,120.05581017572204
BASE7,20,10,0.06,5,full_t0,42.23100428386961,-20.50980113868046,2.0590645417923654,0.639977743382932,491,22,68.43994778067885,120.05581017572204
BASE7,20,30,0.06,5,full_t0,42.23100428386961,-20.50980113868046,2.0590645417923654,0.639977743382932,491,22,68.43994778067885,120.05581017572204
BASE7,80,10,0.03,1,full_t0,41.842971533630745,-11.314055062344165,3.698317827079876,2.257808380458357,450,77,65.27415143603133,118.71397370637244
BASE7,80,30,0.03,1,full_t0,41.842971533630745,-11.314055062344165,3.698317827079876,2.257808380458357,450,77,65.27415143603133,118.71397370637244
BASE7,80,20,0.03,1,full_t0,41.842971533630745,-11.314055062344165,3.698317827079876,2.257808380458357,450,77,65.27415143603133,118.71397370637244
BASE7,60,20,0.03,1,full_t0,41.4758164414911,-16.807091801075263,2.4677568809874417,2.141322293845925,411,76,66.54699738903395,117.44851334398322
BASE7,60,30,0.03,1,full_t0,41.4758164414911,-16.807091801075263,2.4677568809874417,2.141322293845925,411,76,66.54699738903395,117.44851334398322
BASE7,60,10,0.03,1,full_t0,41.4758164414911,-16.807091801075263,2.4677568809874417,2.141322293845925,411,76,66.54699738903395,117.44851334398322
BASE7,80,20,0.03,5,full_t0,39.645845501663814,-12.95415106233089,3.0604742302989774,2.132483604155581,365,76,69.02741514360314,111.2017451664856
